word,emotion,polarity,social,moral,motion_self,thought,color,taste_smell,tactile,visual_form,auditory,space,quantity,time
apology,3.71,4.14,4.37,4.17,3.2,5.25,1.8,1.64,1.6,1.6,3.4,3.52,3.07,3.13
appeal,4.75,4.1,3.87,3.0,3.2,4.88,2.2,1.73,1.5,1.7,2.2,3.83,3.47,3.33
apple,2.28,3.48,1.67,1.71,1.8,1.63,6.0,6.27,5.1,6.5,2.7,2.78,2.76,1.64
appointment,2.62,3.18,3.36,2.55,1.9,3.09,1.7,1.64,1.7,1.9,2.0,3.69,2.88,5.32
arc,2.0,2.7,1.77,2.23,2.6,2.5,3.8,1.64,2.5,5.4,2.2,3.5,3.6,3.8
arrangement,2.69,3.42,3.76,3.1,3.8,3.94,3.0,1.64,1.5,2.8,1.8,3.81,3.36,5.48
arrow,2.28,2.76,1.76,1.84,2.6,1.69,3.2,1.91,3.9,6.2,3.7,3.06,2.45,1.92
art,3.37,4.2,3.39,3.3,3.9,4.79,4.7,2.55,2.7,4.7,2.6,4.36,2.2,3.3
article,2.0,2.7,1.94,2.34,1.6,4.63,2.2,1.64,2.5,3.9,1.5,3.67,4.1,3.18
artist,3.52,4.21,4.12,2.35,3.6,4.16,3.5,2.55,2.7,4.9,2.7,2.78,2.88,2.4
aspect,2.9,3.0,2.61,3.58,3.0,4.16,1.9,1.64,2.0,2.1,1.5,2.78,3.73,3.76
assault,4.0,3.4,3.85,3.62,2.8,2.86,1.6,1.64,3.0,2.6,4.0,2.29,3.0,2.4
assistance,3.79,4.09,5.12,3.87,4.8,3.88,2.1,1.64,1.5,1.9,2.3,3.31,3.45,2.96
assumption,4.21,3.3,3.39,3.52,3.1,5.09,1.9,1.64,1.9,1.7,1.8,2.78,3.33,3.04
atom,2.0,3.4,1.92,3.38,1.5,2.36,1.7,1.73,2.1,2.0,1.4,4.29,2.9,3.8
atrocity,3.73,3.5,3.08,3.53,1.1,2.86,2.0,1.64,1.6,2.2,2.4,3.08,3.7,2.3
attempt,4.11,4.0,2.56,4.0,4.3,4.5,2.3,1.82,2.2,2.2,2.42,4.0,4.3,4.7
attention,4.55,4.7,4.58,3.84,4.1,5.53,1.9,1.64,1.8,2.1,2.0,3.16,4.33,4.0
attitude,4.76,4.18,4.06,4.87,5.0,5.97,1.8,1.91,2.0,2.1,2.1,3.13,3.85,3.28
autumn,1.4,4.0,1.67,3.29,2.6,1.83,5.4,4.36,3.2,3.2,2.9,4.86,3.4,6.4
availability,3.52,3.85,3.94,3.19,3.1,4.0,1.9,1.64,1.6,1.8,1.9,3.44,4.3,4.36
awareness,4.72,4.85,4.15,4.97,4.8,6.06,1.8,1.64,1.9,1.7,2.0,3.88,3.94,4.36
baby,4.52,4.33,5.12,2.32,1.8,2.53,3.1,5.0,3.6,5.6,6.2,2.78,3.61,2.84
bag,2.11,2.5,1.56,1.6,2.2,2.5,4.3,1.55,5.5,5.8,3.17,2.46,4.2,3.0
ball,2.24,2.91,1.88,1.71,1.7,1.44,2.5,3.09,4.7,6.3,4.7,2.88,3.52,1.52
ballot,2.27,2.3,2.85,3.23,1.6,3.0,1.7,2.0,2.9,5.0,2.2,3.64,2.5,3.6
banana,2.21,3.18,1.58,1.68,1.7,1.5,6.1,5.82,4.8,6.5,3.0,2.91,2.55,1.52
band,2.27,3.8,3.08,2.46,2.3,3.72,1.8,2.45,2.5,4.6,6.4,3.29,2.7,2.3
bandit,3.0,3.0,2.62,2.85,1.9,2.36,2.9,2.27,1.7,4.9,3.6,2.22,2.4,1.8
bank,2.56,3.5,2.12,3.4,2.3,3.42,2.3,1.55,5.1,4.9,3.0,4.15,4.3,4.4
beast,2.46,2.7,1.77,2.62,1.3,3.07,2.1,3.36,3.1,4.3,4.4,2.65,3.2,1.3
beauty,4.25,5.35,5.04,2.67,3.0,6.07,3.3,3.0,2.0,4.1,1.5,4.22,2.54,3.1
beaver,1.86,3.0,1.42,1.58,1.5,1.66,4.2,3.27,3.6,5.7,3.5,2.53,2.0,1.72
bed,2.34,3.91,2.91,2.06,2.3,1.59,2.1,4.18,5.1,6.2,3.0,4.31,2.91,1.84
bedroom,3.09,4.1,2.54,2.69,1.7,2.57,2.6,4.0,3.9,4.6,2.4,4.57,3.1,2.6
beetle,1.86,2.76,1.48,1.55,1.4,1.75,3.2,3.27,4.2,6.2,3.1,2.56,2.52,1.6
behavior,4.76,4.79,4.76,6.1,5.4,5.41,1.8,1.64,1.6,2.3,2.5,3.22,3.42,3.2
belief,4.9,4.76,4.15,4.87,4.1,5.75,1.8,1.64,1.9,1.4,2.6,3.47,4.18,3.6
bell,1.93,2.76,1.64,1.77,2.1,1.59,4.3,2.36,4.5,6.0,6.8,2.63,2.58,2.2
benefactor,3.9,3.97,5.24,3.45,2.0,2.63,2.0,1.91,2.0,3.4,1.4,3.06,3.27,2.84
bet,2.55,3.4,3.54,3.38,1.6,3.5,1.6,1.64,1.6,1.6,2.7,4.22,4.1,3.7
betrayal,5.73,4.3,4.93,3.85,2.3,3.57,1.9,1.64,1.5,1.5,2.4,2.36,1.8,3.0
beverage,2.24,3.36,2.06,1.58,2.0,1.5,2.7,4.64,4.1,5.8,3.6,3.09,3.18,1.76
bird,2.28,3.42,1.58,1.71,2.1,1.72,4.7,4.09,4.6,6.0,6.0,2.88,2.58,1.64
blade,1.97,2.79,1.61,1.71,2.2,1.59,3.4,2.36,5.5,5.6,2.4,2.47,2.91,1.96
blood,3.28,3.42,2.97,2.19,2.3,2.0,6.0,4.91,5.3,4.9,1.7,2.72,2.55,1.84
boat,1.86,3.36,2.06,1.71,1.9,1.88,3.1,3.64,4.0,6.3,4.0,3.28,3.97,1.52
body,3.45,4.42,3.39,2.52,4.0,2.38,2.8,3.73,4.6,5.2,2.4,3.34,3.18,2.6
bolt,1.82,3.1,1.77,2.23,2.0,2.21,2.9,1.64,3.4,5.5,2.6,3.22,3.1,3.1
border,1.63,2.6,2.69,2.61,1.4,2.79,2.6,1.64,2.6,4.6,1.4,4.22,3.2,3.9
boredom,4.91,3.5,2.46,2.61,3.1,4.71,1.8,1.64,1.8,1.9,2.0,3.22,2.2,3.5
bottle,1.9,3.03,1.79,1.48,1.8,1.47,3.6,3.55,4.0,6.0,2.9,2.63,3.3,1.96
boulder,2.0,2.91,1.88,1.77,1.6,1.56,2.8,3.0,4.1,5.5,2.8,3.63,4.67,2.2
boundary,2.09,3.1,2.84,4.23,1.7,3.22,2.3,1.64,1.6,3.0,1.4,4.72,4.3,5.0
boy,3.07,3.97,4.45,1.55,1.8,2.53,4.2,4.09,4.1,5.5,4.3,2.66,2.64,2.16
bracelet,2.28,3.18,2.36,1.52,2.3,1.66,2.8,2.82,4.3,6.3,3.0,2.72,2.73,1.96
brain,4.55,4.58,3.79,4.35,4.0,5.66,3.8,2.55,2.8,5.2,1.6,3.34,4.52,4.04
branch,1.89,1.92,2.69,1.9,2.5,3.67,2.7,2.18,5.4,5.5,2.58,3.46,3.3,3.3
brawl,3.82,2.8,4.46,2.85,3.0,3.14,1.8,2.18,3.1,3.7,4.6,2.5,2.5,3.2
brevity,2.83,3.09,2.61,2.61,2.2,3.91,2.3,1.64,1.3,1.9,1.8,2.69,4.33,4.4
bridge,2.0,3.45,2.24,1.74,2.1,1.88,2.4,2.55,4.1,5.8,3.1,4.88,4.12,2.24
brother,3.89,3.17,5.75,2.7,3.1,3.17,2.5,2.64,4.7,5.0,3.0,3.16,2.6,3.3
brute,3.18,3.9,2.61,3.16,1.6,2.5,1.8,1.64,2.2,2.7,1.6,2.22,2.0,2.6
bubble,2.1,2.79,1.79,1.58,2.4,1.84,4.1,2.91,4.5,5.9,2.8,3.0,2.73,1.92
bullet,2.17,3.3,1.97,1.84,2.2,2.22,3.0,2.0,4.5,6.2,5.3,2.53,2.64,2.36
burner,1.73,3.0,2.0,2.38,1.4,2.36,2.6,2.55,2.9,5.1,3.3,3.07,2.4,2.1
butter,1.83,3.64,1.61,1.58,1.6,1.59,4.8,5.82,4.7,5.8,1.3,2.91,2.48,1.88
butterfly,3.38,3.67,1.85,1.84,2.0,1.69,4.7,2.82,4.8,6.3,2.3,3.0,2.39,1.92
cake,2.72,4.09,2.3,1.74,2.4,1.44,3.8,6.27,4.9,6.1,2.0,3.16,3.55,1.72
calculation,2.97,3.85,2.39,2.81,2.7,5.13,1.6,1.64,2.0,2.1,1.9,2.91,4.61,5.04
calendar,2.34,3.39,3.06,2.0,2.1,1.91,1.9,2.0,2.7,5.0,1.7,3.34,2.88,6.12
camera,2.67,2.83,2.31,1.9,2.7,3.33,4.5,1.64,5.5,5.9,5.17,3.0,3.9,3.2
candidate,2.82,3.3,4.07,2.54,2.4,3.15,1.8,2.36,2.4,3.7,2.0,4.15,2.0,3.0
candy,2.72,4.06,1.97,1.84,2.1,1.5,3.9,5.82,4.9,5.4,2.5,2.75,3.33,2.0
capacity,3.0,3.61,3.0,3.16,2.8,4.13,1.6,1.91,1.7,2.0,1.3,2.94,5.88,3.84
car,2.31,3.88,2.45,1.77,2.7,1.81,4.1,4.36,4.0,6.3,5.6,3.91,3.76,1.96
cat,2.97,4.52,2.09,1.58,1.3,2.25,4.0,4.82,5.2,6.2,6.0,3.19,2.42,1.52
category,2.52,2.94,2.36,2.16,1.9,3.72,2.5,1.73,1.6,1.7,1.6,3.03,3.58,4.12
caterpillar,1.97,2.79,1.64,1.58,1.7,1.56,3.7,3.0,4.6,6.2,2.0,2.63,2.61,2.08
cause,3.33,3.75,3.06,4.2,5.7,4.92,2.2,2.09,2.4,1.8,2.0,3.54,4.1,4.3
ceiling,1.76,2.67,2.03,1.65,1.3,1.59,2.6,2.36,3.1,4.7,1.4,4.28,2.88,2.28
ceremony,3.82,3.4,4.31,3.31,1.6,2.86,2.4,2.45,1.5,2.6,5.2,4.29,3.3,4.3
chair,1.66,2.85,1.58,1.68,1.8,1.53,3.4,2.91,4.1,6.0,2.9,3.44,2.76,1.68
chance,3.56,3.91,3.38,3.3,2.9,4.67,2.1,1.45,2.3,1.9,1.75,3.54,5.2,4.0
character,3.0,3.0,4.0,5.0,3.0,4.5,2.4,1.64,1.9,2.2,2.3,4.43,2.2,2.6
charity,4.83,4.88,4.36,4.61,1.9,4.0,2.3,1.64,2.1,1.8,1.9,2.78,4.03,2.76
charter,2.27,2.5,1.92,2.39,1.3,2.65,1.8,1.73,2.0,2.3,1.5,3.72,3.4,3.9
chicken,2.1,3.18,1.85,1.58,1.5,1.5,4.2,6.18,4.4,6.1,5.1,3.03,2.52,1.68
chief,2.44,2.25,3.44,2.0,1.3,3.42,2.4,1.73,3.6,4.6,2.92,4.46,2.3,3.5
child,4.38,4.61,5.27,2.9,1.8,2.81,2.6,4.64,4.1,5.2,4.1,2.88,3.67,2.8
chipmunk,2.24,2.85,1.64,1.61,1.3,1.41,4.8,3.18,3.5,6.0,4.4,2.63,2.27,1.56
chlorine,1.73,3.2,1.77,2.08,1.5,2.07,2.6,5.27,4.3,3.5,1.9,2.29,2.2,1.6
chocolate,3.34,4.7,2.42,2.0,2.9,1.69,5.3,6.64,5.4,5.8,1.9,3.09,2.67,1.96
christmas,4.41,5.36,4.36,2.19,2.8,2.97,6.0,3.82,3.1,3.1,4.1,3.5,3.06,4.32
church,3.76,4.39,4.33,3.48,2.1,2.84,2.5,3.55,3.4,5.5,4.2,5.13,3.27,2.44
circuit,2.0,3.1,2.32,2.25,1.5,3.07,2.0,2.36,2.4,3.9,2.5,3.52,4.24,4.35
circumstance,3.17,3.48,3.45,4.9,2.4,4.34,1.9,1.64,1.5,1.7,1.8,2.97,3.3,4.4
city,2.66,3.67,3.73,1.77,2.1,2.28,3.5,3.0,3.0,4.7,4.9,5.59,5.09,2.08
claim,3.44,3.17,2.06,2.9,2.9,5.33,2.6,1.73,2.6,2.5,2.25,3.46,4.0,4.4
clean,3.27,4.3,1.77,3.92,4.3,3.36,2.7,4.55,3.2,2.6,1.8,4.36,2.6,3.4
clearance,2.38,2.91,2.33,2.29,2.5,2.44,1.6,1.64,1.8,2.1,1.5,3.34,3.3,3.76
cliff,2.0,3.48,1.79,1.71,1.7,1.78,2.7,2.55,2.4,5.1,1.7,4.78,4.27,1.68
cloth,1.89,2.42,1.69,2.0,1.5,2.75,3.8,2.55,5.2,5.8,1.75,2.39,2.7,2.8
clothing,2.62,3.67,2.64,1.77,2.5,1.69,3.4,4.18,5.0,5.2,2.8,3.22,3.0,2.36
cocktail,2.34,3.3,2.42,1.71,1.9,1.59,3.1,5.91,4.7,5.7,3.1,2.84,2.61,2.12
coffee,2.66,4.06,2.7,1.94,2.8,1.75,4.8,5.55,6.0,5.6,3.7,2.84,2.7,2.28
coffin,3.28,3.48,2.0,1.97,1.8,1.97,2.8,3.64,4.4,6.2,2.2,2.63,2.55,1.88
cognition,4.0,4.3,4.09,5.0,3.7,6.09,2.0,1.55,1.8,1.7,1.5,3.03,3.85,3.8
coincidence,3.17,4.0,3.27,2.97,3.2,3.78,2.0,1.64,1.7,1.8,1.7,2.72,3.12,3.88
combination,2.69,3.03,3.12,2.29,2.6,3.84,2.2,1.64,1.5,2.1,1.5,2.81,3.61,3.56
comparison,3.76,3.45,4.0,3.71,3.8,5.25,1.8,1.64,1.7,1.7,1.8,3.09,4.67,4.04
competence,4.21,5.21,4.24,4.94,5.4,5.44,2.3,1.64,1.6,1.5,1.7,3.56,4.45,3.72
complication,3.76,3.85,3.94,3.71,2.4,4.16,1.9,1.64,1.6,1.7,1.8,2.41,3.91,2.88
composer,3.09,3.0,2.77,2.15,2.1,5.07,2.0,2.0,2.1,4.5,4.8,3.86,2.2,3.8
comprehension,4.03,4.15,3.79,4.68,4.7,5.84,1.9,1.64,1.8,2.0,1.8,3.47,4.39,3.76
conclusion,3.14,4.06,3.03,3.65,3.4,5.38,1.6,1.64,2.2,1.6,1.7,3.91,3.36,5.56
conference,2.45,3.2,4.61,3.31,1.8,3.5,1.8,1.64,2.0,3.7,3.8,3.36,3.2,4.2
confidence,5.14,5.36,4.36,4.06,5.2,4.97,1.9,1.64,1.6,2.1,2.3,3.19,4.39,3.2
conscience,4.91,5.5,4.08,5.69,4.1,5.36,1.8,1.64,1.9,1.6,2.4,5.14,2.6,3.7
consequence,3.9,4.18,3.58,4.97,3.0,5.38,2.6,1.64,1.9,1.9,1.4,3.03,4.61,5.0
consideration,4.76,4.09,4.52,5.06,4.5,4.94,2.5,1.64,2.0,1.7,1.9,3.06,3.48,4.2
consistency,3.66,3.48,3.61,4.65,4.2,4.69,1.6,1.64,1.9,1.5,1.7,3.16,3.91,4.08
construction,2.59,2.65,2.47,3.29,2.1,4.0,3.2,2.55,2.6,4.3,5.9,4.56,3.5,5.25
contempt,5.82,4.2,3.92,4.61,2.3,5.14,1.6,1.73,1.8,2.0,1.8,2.93,2.1,3.5
context,3.03,3.52,3.21,4.0,3.0,5.06,1.8,1.64,1.5,1.6,1.8,2.91,3.67,3.72
contract,1.91,2.9,4.16,3.69,2.0,3.43,1.6,1.64,1.3,3.1,1.9,3.65,3.8,5.4
convergence,2.9,3.18,4.0,3.0,3.3,4.09,1.8,1.64,1.4,1.7,1.4,3.69,3.82,4.0
core,2.64,3.7,2.3,2.46,2.7,2.5,1.8,1.64,2.6,3.8,1.3,3.29,2.5,2.3
corn,1.66,2.94,1.73,1.58,1.7,1.44,4.6,5.27,4.2,6.4,3.0,2.84,2.09,1.76
corporation,2.55,3.36,4.76,2.48,1.7,2.75,1.7,1.73,1.9,2.3,2.2,3.59,4.39,3.16
corpse,3.34,3.45,2.18,1.74,1.8,1.94,2.4,5.27,3.8,5.2,1.4,2.41,1.94,2.56
correspondent,2.37,3.0,3.54,2.31,2.9,3.93,1.9,1.73,1.6,3.6,3.9,4.07,2.0,3.3
costume,2.22,2.58,2.19,2.1,2.0,3.09,3.3,1.82,5.6,5.8,2.0,2.31,2.4,3.3
cottage,2.55,3.61,2.27,1.61,1.9,1.88,2.8,3.18,3.1,5.4,2.1,4.53,3.48,1.56
coupon,1.97,3.3,2.15,2.03,2.2,1.88,3.0,1.91,3.1,5.2,2.0,2.97,2.64,2.92
cow,2.03,3.24,1.42,1.58,1.2,1.47,4.4,5.18,4.8,6.2,5.9,2.78,2.94,1.72
cowardice,4.69,3.52,3.61,3.9,2.6,3.97,2.1,1.91,1.8,2.0,1.3,2.31,2.76,2.12
cranberry,1.93,2.91,1.58,1.52,1.6,1.44,6.2,5.82,5.2,6.3,1.8,2.59,2.12,1.76
crime,3.55,3.4,3.38,4.31,1.7,3.22,1.9,1.64,1.5,2.4,2.8,2.79,3.2,2.4
crisis,3.8,4.0,2.67,3.57,2.7,3.67,1.9,1.27,1.5,1.6,3.0,1.86,4.6,3.8
criticism,4.0,6.5,3.0,5.0,3.5,5.17,2.7,1.64,1.4,1.6,4.2,3.71,2.0,3.8
crocodile,1.79,3.27,1.39,1.68,1.2,1.53,4.7,3.36,3.8,6.3,3.7,2.59,2.67,1.72
crown,2.45,2.97,2.58,1.84,1.9,1.72,4.6,2.91,3.6,6.2,2.0,3.0,3.12,2.04
cucumber,2.21,3.18,1.73,1.58,1.4,1.56,5.9,5.55,4.1,6.5,2.4,2.78,2.7,1.64
cup,2.0,2.76,1.64,1.52,2.0,1.5,2.2,3.45,4.8,6.2,2.6,2.53,3.67,2.2
curfew,2.37,3.0,2.54,2.23,1.6,2.64,2.1,1.64,1.4,1.7,1.5,3.29,2.9,5.9
dad,4.28,5.94,5.3,3.06,2.3,3.22,2.6,3.45,3.8,5.2,4.2,2.66,2.97,3.08
dagger,2.33,2.17,1.69,2.5,1.8,2.5,2.7,2.0,5.4,5.6,2.67,2.0,2.5,2.2
damage,2.91,3.8,2.15,3.31,2.7,2.71,1.9,1.91,2.0,3.6,3.3,3.14,3.9,3.0
danger,4.38,4.27,2.85,3.74,3.3,4.13,2.5,1.45,1.8,2.1,2.6,2.56,3.82,2.88
darkness,3.14,4.0,1.88,2.52,2.2,2.25,3.9,1.36,2.8,3.2,2.1,2.81,3.7,3.76
debt,2.8,4.25,2.33,3.14,1.8,1.83,1.7,1.64,1.7,1.9,1.4,3.43,5.6,4.8
deceit,4.4,6.5,3.5,4.71,2.8,5.5,1.9,1.64,1.5,1.7,2.3,1.71,2.6,3.0
decision,4.21,4.15,4.18,5.65,5.0,6.16,2.0,1.64,2.1,1.7,2.2,3.16,3.79,4.8
deduction,2.86,3.45,2.79,3.1,3.1,4.5,1.5,1.64,1.6,1.8,1.8,2.66,4.64,3.4
definition,2.41,3.39,3.15,3.19,3.2,4.47,2.2,1.64,1.4,1.6,2.0,2.91,3.12,3.08
degree,2.55,3.7,2.31,3.23,2.0,3.58,1.6,1.64,1.9,2.3,1.4,4.79,4.8,5.4
democracy,3.52,4.67,5.27,4.26,1.2,4.38,1.8,1.91,1.9,1.3,2.4,3.81,4.18,4.2
denial,4.41,3.82,3.94,3.1,2.1,4.38,1.6,1.64,1.5,2.0,3.4,2.44,2.91,2.96
dentist,3.07,4.18,3.61,1.97,1.6,2.53,1.9,3.18,4.7,5.1,5.1,3.22,2.21,2.08
deputy,1.73,3.2,2.85,2.23,1.5,3.14,2.2,2.09,2.0,4.2,3.5,2.65,2.6,2.5
description,3.17,3.45,3.12,2.61,2.9,4.88,3.0,1.64,1.8,2.1,2.7,2.88,3.06,3.08
design,2.55,4.4,2.62,2.77,2.4,4.36,2.8,1.91,1.8,2.3,1.3,4.36,2.5,4.6
desk,1.66,3.06,1.7,1.87,1.6,1.91,3.0,2.27,4.6,6.2,2.8,3.94,3.09,2.32
despair,5.18,4.5,2.46,3.62,3.3,4.86,1.8,2.0,1.7,2.3,2.2,2.79,2.1,2.9
destiny,4.28,4.61,3.91,3.81,2.8,4.19,2.4,1.64,1.7,1.4,1.5,3.47,3.58,4.16
determination,4.76,4.73,4.39,4.74,4.8,5.56,2.0,1.64,1.7,1.5,1.8,3.56,4.06,3.44
development,3.69,3.82,4.36,4.29,3.7,5.03,1.9,1.64,2.1,1.8,2.4,2.84,4.33,4.2
diamond,3.07,3.85,2.88,1.71,1.3,1.88,4.4,2.27,4.1,6.3,1.5,2.84,4.79,3.08
diet,2.67,3.7,2.24,3.17,3.4,3.88,1.8,3.09,2.0,1.8,1.4,4.2,3.74,4.75
difference,3.55,3.88,3.18,3.03,3.2,3.91,2.3,1.64,1.6,2.2,1.7,2.63,4.18,3.52
dilemma,4.52,4.0,3.39,4.39,3.5,4.72,1.9,1.64,1.6,2.0,2.4,2.72,3.82,3.28
dimension,2.93,3.52,2.39,2.58,2.3,4.31,2.0,1.64,1.8,1.7,1.9,3.63,4.91,4.68
disagreement,5.4,4.25,4.33,5.0,3.2,5.83,1.6,1.64,2.0,1.5,3.8,2.14,2.8,3.6
disappointment,5.18,4.3,3.3,3.77,3.2,4.79,1.9,1.64,1.9,1.9,1.8,2.64,1.8,3.7
disaster,4.31,4.33,3.09,3.32,2.9,2.94,1.9,2.09,2.0,3.5,3.7,2.91,4.94,3.44
disgust,6.09,4.2,2.46,3.46,2.1,5.22,1.6,2.0,2.9,2.0,2.9,2.15,2.6,2.8
distance,2.24,3.17,2.12,2.74,2.6,2.19,2.0,1.64,1.9,2.8,1.3,4.11,5.7,5.05
distraction,3.76,3.33,3.58,3.19,2.9,3.44,1.9,1.64,1.6,1.7,2.2,3.13,3.39,3.76
distribution,2.38,3.21,2.88,2.48,3.1,3.5,2.2,1.64,1.8,2.1,1.9,2.72,4.15,4.88
ditch,1.55,2.8,2.38,2.15,1.3,2.29,2.3,2.73,2.4,5.2,1.6,2.07,3.2,2.8
diversity,3.62,4.24,4.88,3.55,3.8,4.16,1.9,1.82,1.9,1.9,1.8,3.06,4.18,3.2
division,2.5,2.4,2.43,2.92,2.6,3.63,1.7,1.64,1.9,2.9,1.7,4.23,3.24,4.28
doctor,2.76,4.64,4.09,2.52,1.7,2.81,3.0,3.36,3.2,4.9,4.1,3.25,2.52,2.08
donor,3.36,5.2,4.46,3.15,2.3,3.0,2.3,2.55,2.0,3.4,1.7,3.57,2.0,3.1
door,2.03,2.82,2.06,1.9,2.3,1.53,3.6,3.09,3.8,6.2,4.3,3.81,3.15,1.88
dove,2.34,3.64,2.3,1.71,1.4,1.81,4.6,3.45,4.7,6.1,4.9,2.91,2.36,1.8
dozen,1.73,3.3,2.0,2.46,1.2,2.5,1.8,1.64,1.8,3.7,1.5,4.0,4.8,4.6
drama,4.73,4.3,4.0,2.23,2.9,5.0,2.2,1.82,1.5,2.2,3.7,3.22,2.8,3.1
drug,2.82,3.6,2.16,3.15,1.8,2.86,2.5,3.64,4.2,4.7,1.3,2.22,2.0,2.8
drum,2.07,2.76,1.58,1.52,2.6,1.75,3.8,2.18,4.7,6.0,6.5,2.63,2.73,2.24
duck,2.0,2.17,1.5,1.5,2.8,2.42,4.3,3.64,5.4,5.8,3.92,3.08,2.7,2.1
duel,2.67,2.87,4.05,2.88,3.4,3.44,1.8,2.0,2.0,4.1,3.9,3.0,3.54,3.28
duration,2.97,3.03,2.85,2.65,2.6,3.22,1.7,1.64,1.5,1.6,1.5,2.84,4.91,6.16
duty,4.34,4.64,3.76,3.94,2.8,4.56,2.2,1.64,1.6,1.5,1.8,2.97,4.0,3.08
dynasty,2.72,3.27,3.76,1.71,1.5,1.94,2.3,1.64,1.9,1.7,1.9,3.0,4.7,5.04
eagle,2.69,3.85,2.06,1.81,1.5,1.91,3.1,3.0,3.9,6.1,5.3,2.94,2.94,1.72
economy,3.34,4.06,4.24,2.81,2.3,3.5,3.0,1.64,1.7,1.7,1.7,2.94,4.64,3.84
edge,2.09,3.2,2.15,2.08,2.5,2.15,1.9,1.64,2.9,4.4,1.8,4.0,3.2,2.0
effect,2.45,4.6,2.46,3.15,2.5,5.14,2.2,1.64,1.2,2.4,2.1,3.57,3.4,4.1
effort,4.44,4.58,4.38,4.3,5.5,5.5,2.0,2.0,2.5,2.0,3.08,4.08,5.3,4.6
eight,1.91,3.1,1.85,2.31,1.4,2.5,1.9,1.64,1.7,4.0,1.8,3.07,5.0,5.1
electricity,2.09,4.2,2.08,2.61,2.5,3.0,3.1,1.64,3.6,2.7,3.7,4.36,3.0,3.7
elephant,2.03,3.18,1.61,1.61,1.5,1.75,4.4,4.09,4.3,6.1,5.7,2.84,4.55,1.52
emergence,3.41,3.24,2.73,2.9,4.6,3.34,1.7,1.64,1.6,2.3,2.0,3.22,2.97,3.92
