word,SM,IS/E,SC,VA
fear,0.54,0.2833,0.0167,0.16
fight,0.3892,0.1817,0,0.4292
fitness,0.7524,0.0333,0,0.2143
flexibility,0.2583,0.4333,0.025,0.2833
force,0.555,0.1883,0.05,0.2067
forgiveness,0.2145,0.4133,0.1119,0.2602
freedom,0.1871,0.4052,0,0.4076
fright,0.54,0.3117,0,0.1483
frustration,0.2667,0.49,0.04,0.2033
fun,0.3083,0.3567,0.26,0.075
fury,0.2779,0.2926,0.0286,0.401
future,0.165,0.3683,0.0667,0.4
genius,0.14,0.2783,0.045,0.5367
glory,0.3798,0.2536,0.0167,0.35
grace,0.531,0.2421,0.0111,0.2159
gratitude,0.1233,0.3317,0.17,0.375
greed,0.2917,0.4833,0.025,0.2
guess,0.2222,0.3611,0.0278,0.3889
habit,0.2733,0.2733,0.025,0.4283
happiness,0.4333,0.3417,0.1267,0.0983
hate,0.0926,0.2889,0.1611,0.4574
help,0.32,0.2817,0.2367,0.1617
hint,0.325,0.27,0.1283,0.2767
home,0.255,0.31,0.24,0.195
honor,0.1556,0.287,0.1704,0.387
hope,0.145,0.3308,0,0.5242
horror,0.4769,0.3045,0.0926,0.126
humor,0.4261,0.4472,0,0.1267
hunger,0.5764,0.0542,0.0125,0.3569
hurry,0.2667,0.4,0.0583,0.275
idea,0.125,0.4617,0.0167,0.3967
ideal,0.4619,0.2352,0.0429,0.26
illusion,0.4792,0.2604,0,0.2604
impression,0.3467,0.3133,0.12,0.22
incentive,0.3983,0.36,0.055,0.1867
independence,0.0962,0.305,0.0643,0.5345
indifference,0.1733,0.5617,0.0333,0.2317
influence,0.1536,0.5119,0.1476,0.1869
insanity,0.1833,0.59,0.025,0.2017
insight,0.42775,0.4268,0.025,0.1205
insult,0.295,0.38,0.075,0.25
insurrection,0.4978,0.189,0.02,0.2932
intention,0.2083,0.45,0,0.3417
interest,0.3167,0.58,0,0.1033
invention,0.25,0.2,0.05,0.5
jealousy,0.225,0.245,0.3683,0.1617
joy,0.4883,0.195,0.2317,0.085
judgement,0.4775,0.175,0,0.3475
justice,0.1583,0.1917,0.025,0.625
justification,0.275,0.3167,0.175,0.2333
kindness,0.4168,0.2895,0.2194,0.0744
knowledge,0.4212,0.1912,0,0.3876
love,0.2198,0.4011,0.1347,0.2444
luck,0.2933,0.2333,0.1333,0.34
lust,0.4833,0.4167,0,0.1
luxury,0.4233,0.2533,0,0.3233
magic,0.3183,0.1167,0,0.565
manipulation,0.2483,0.2917,0.19,0.27
manners,0.3705,0.156,0.1476,0.326
matter,0.3417,0.1667,0,0.4917
meanness,0.3433,0.32,0.0867,0.25
memory,0.275,0.5883,0.02,0.1167
menace,0.2583,0.3333,0,0.4083
mercy,0.2283,0.315,0.2367,0.22
miracle,0.1333,0.3,0,0.5667
misdemeanor,0.6704,0.1741,0.0593,0.0963
misery,0.4717,0.275,0.11,0.1433
mockery,0.2395,0.4379,0.1243,0.1983
model,0.6174,0.25,0.1183,0.0143
moment,0.15,0.2685,0,0.5815
mood,0.2186,0.6698,0,0.1117
mourning,0.265,0.2983,0.15,0.2867
need,0.38,0.4133,0,0.2067
nervousness,0.5145,0.3723,0.0341,0.0791
nightmare,0.2721,0.6493,0.031,0.0476
notion,0.19,0.6267,0.0333,0.15
obedience,0.4167,0.1,0.3333,0.15
objection,0.345,0.225,0.3433,0.0867
obligation,0.3519,0.3685,0.1778,0.1019
observation,0.4838,0.2436,0,0.2726
occupation,0.7633,0.1117,0,0.125
order,0.5142,0.0858,0.0125,0.3875
ostracism,0.2338,0.4126,0.2719,0.0817
overview,0.5607,0.1143,0,0.325
pain,0.5124,0.3742,0.0167,0.0968
panic,0.5889,0.263,0.0278,0.1204
pardon,0.2,0.4083,0.2917,0.1
passion,0.2538,0.5986,0.0476,0.1
past,0.1,0.3667,0.025,0.5083
peace,0.1958,0.2125,0.0583,0.5333
perception,0.6107,0.2701,0.0533,0.0658
perfection,0.1119,0.25,0,0.6381
performance,0.4009,0.3959,0.0091,0.1941
perspective,0.3083,0.2917,0,0.4
plan,0.2583,0.3917,0.0833,0.2667
pleasure,0.3357,0.4583,0.1167,0.0893
potential,0.2167,0.3667,0.0333,0.3833
poverty,0.4292,0.1233,0.0125,0.435
power,0.3625,0.1983,0.1383,0.3008
prediction,0.7067,0.1117,0.0333,0.1483
present,0.1883,0.165,0.025,0.6217
pride,0.1833,0.4333,0.0333,0.35
problem,0.1567,0.375,0.135,0.3333
prohibition,0.3483,0.2,0.025,0.4267
promise,0.2367,0.2367,0.1567,0.37
proof,0.655,0,0,0.345
proposal,0.3748,0.3467,0.065,0.2136
prosperity,0.3333,0.4083,0.025,0.2333
protection,0.46,0.1833,0.2117,0.145
protest,0.4033,0.3283,0.0167,0.2517
provocation,0.2133,0.45,0.1367,0.2
punishment,0.5833,0.1583,0.0333,0.225
quality,0.2103,0.2667,0,0.523
quantity,0.4667,0.0556,0,0.4778
rage,0.2683,0.5283,0.025,0.1783
realization,0.2367,0.66,0,0.1033
reassurance,0.4238,0.4326,0.0143,0.1293
recommendation,0.525,0.2,0.2,0.075
recovery,0.5388,0.301,0.0517,0.1086
regard,0.3292,0.3167,0.0313,0.3229
regret,0.1283,0.4817,0.1067,0.2833
relief,0.4283,0.4217,0,0.15
remorse,0.2217,0.44,0.2133,0.125
requirement,0.1567,0.5167,0.04,0.2867
resemblance,0.435,0.02,0.43,0.115
resistance,0.3116,0.2077,0.1367,0.344
resolution,0.125,0.475,0.0333,0.3667
respect,0.3067,0.2317,0.225,0.2367
responsibility,0.2402,0.2817,0.2486,0.2295
retaliation,0.2396,0.4458,0.1188,0.1958
revenge,0.3133,0.4383,0.0267,0.2217
revolution,0.1148,0.1519,0.0185,0.7148
risk,0.3217,0.35,0.0375,0.2908
ritual,0.215,0.04,0.06,0.685
romantic,0.3552,0.2644,0.0843,0.2961
safety,0.385,0.2683,0.2367,0.11
satisfaction,0.3517,0.4352,0.0829,0.1302
scheme,0.4167,0.185,0.025,0.3733
selection,0.3557,0.1283,0.1125,0.4035
self-dependence,0.2383,0.375,0.0917,0.295
sensation,0.2217,0.72,0,0.0583
sensitivity,0.3778,0.3722,0.1278,0.1222
shame,0.3593,0.4148,0.1111,0.1148
shyness,0.39,0.59,0,0.02
skill,0.255,0.42,0,0.325
slapstick,0.395,0.345,0.05,0.21
solitude,0.175,0.4167,0.2083,0.2
stability,0.2733,0.1333,0.3233,0.27
stimulus,0.5483,0.2817,0,0.17
stress,0.1975,0.3833,0.1325,0.2867
success,0.2924,0.3998,0.0143,0.2936
suffering,0.3838,0.3219,0.065,0.2293
support,0.215,0.2317,0.3817,0.1717
surprise,0.1379,0.7352,0.0486,0.0783
talent,0.4917,0.2142,0.0333,0.2608
task,0.3448,0.2993,0.0333,0.3226
terrorism,0.2217,0.245,0,0.5333
theory,0.2117,0.3483,0,0.44
thirst,0.7767,0.0867,0,0.1367
thought,0.165,0.6433,0,0.1917
threat,0.5138,0.2243,0.0619,0.2
tradition,0.3667,0,0.1333,0.5
trend,0.4857,0.0976,0.0333,0.3833
trust,0.2,0.3028,0.4417,0.0556
value,0.405,0.2683,0.085,0.2417
vanity,0.3283,0.4083,0.075,0.1883
victory,0.2733,0.2333,0.12,0.3733
view,0.255,0.3317,0.2317,0.1817
violation,0.5167,0.1583,0.0167,0.3083
violence,0.41,0.135,0.1206,0.3344
war,0.4722,0.1167,0.1083,0.3028
warning,0.4517,0.145,0.0417,0.3617
weakness,0.455,0.225,0.075,0.245
wealth,0.3245,0.2843,0,0.3912
welfare,0.4512,0.1593,0.3395,0.05
will,0.1486,0.5305,0,0.321
willingness,0.3726,0.3552,0.2412,0.031
wish,0.1817,0.3567,0,0.4617
wit,0.395,0.37,0.0817,0.1533
wonder,0.1683,0.6733,0,0.1583
work,0.5183,0.2167,0.02,0.245
worry,0.195,0.5717,0.16,0.0733
